"Road Name","Asset ID (Identifier)","Easting (Location/Map Coordinates)","Northing (Location/Map Coordinates)","Seat Type New","Geometry"
"ANGAS ST","719","281644.57","6132164.345","Adelaide Suite","POINT (15429927.4265962 -4154306.55662951)"
"ANGAS ST","720","281647.378","6132164.535","Adelaide Suite","POINT (15429930.8517353 -4154306.40630892)"
"ANGAS ST","721","281578.758","6132156.893","Adelaide Suite","POINT (15429847.0631707 -4154313.74808026)"
"ANGAS ST","732","281375.497","6132115.608","Adelaide Suite","POINT (15429598.3269879 -4154358.30475527)"
"ANGAS ST","742","281451.1804","6132142.4199","Adelaide Suite","POINT (15429691.2763943 -4154327.72053167)"
"ANGAS ST","743","281496.4529","6132127.1549","Adelaide Suite","POINT (15429745.9650185 -4154347.7195412)"
"ANGAS ST","744","281738.603","6132147.7571","Adelaide Suite","POINT (15430041.4582324 -4154329.59821006)"
"ANGAS ST","745","281924.623","6132158.804","Concrete Leg1","POINT (15430268.3171254 -4154321.51920821)"
"ANGAS ST","1280","281650.045","6132140.25","Adelaide Suite","POINT (15429933.392704 -4154336.19280661)"
"ANGAS ST","1619","281578.6762","6132130.4407","Adelaide Suite","POINT (15429846.1932822 -4154346.10552193)"
"ANGAS ST","1622","281055.5588","6132089.5058","Adelaide Suite","POINT (15429207.9411054 -4154380.86206856)"
"ANGAS ST","1623","281062.375","6132090.5515","Adelaide Suite","POINT (15429216.2724751 -4154379.78269389)"
"ANGAS ST","1624","281057.7475","6132089.9339","Adelaide Suite","POINT (15429210.6190254 -4154380.4025379)"
"ANGAS ST","1625","281059.9473","6132090.095","Adelaide Suite","POINT (15429213.3026695 -4154380.26996068)"
"BOWEN ST","1194","280368.612","6132293.904","Bus Station1","POINT (15428377.3571123 -4154110.64660992)"
"BOWEN ST","1195","280365.315","6132316.588","Bus Station1","POINT (15428374.0062586 -4154082.80051603)"
"BOWEN ST","1196","280364.336","6132325.115","Bus Station1","POINT (15428373.063716 -4154072.34074074)"
"BOWEN ST","1197","280366.73","6132331.043","Bus Station1","POINT (15428376.1526201 -4154065.15950078)"
"BOWEN ST","1198","280361.557","6132346.258","Bus Station1","POINT (15428370.2985659 -4154046.3950585)"
"BOWEN ST","1199","280368.601","6132302.706","Bus Station1","POINT (15428377.6014225 -4154099.87887336)"
"BUXTON ST","959","279733.756","6134712.059","Concrete Leg1","POINT (15427675.2126861 -4151134.24451279)"
"BUXTON ST","960","279804.533","6134751.541","Concrete Leg1","POINT (15427762.5375609 -4151088.04454097)"
"CARRINGTON ST","1642","281179.4265","6131945.8795","Willow","POINT (15429354.5985675 -4154560.19675732)"
"CARRINGTON ST","1621","281185.771","6131963.0057","Willow","POINT (15429362.824743 -4154539.43139488)"
"CHARLES ST","902","281089.3361","6132954.526","Adelaide Suite","POINT (15429274.3162743 -4153323.69790881)"
"CHILDERS ST","975","280230.875","6135042.38","Concourse","POINT (15428290.0959794 -4150744.90942072)"
"CHILDERS ST","976","280230.279","6135042.326","Concourse","POINT (15428289.3688238 -4150744.95794031)"
"CURRIE ST INC","780","280689.8332","6132694.1624","Adelaide Suite","POINT (15428780.2337659 -4153630.46302069)"
"CURRIE ST INC","1688","280652.5105","6132692.5202","Adelaide Suite","POINT (15428734.7369269 -4153631.37584267)"
"FENN PL","1682","279992.0907","6132927.493","Adelaide Suite","POINT (15427937.4190386 -4153324.52852376)"
"FENN PL","1683","279992.2731","6132925.1085","Adelaide Suite","POINT (15427937.5712313 -4153327.45062512)"
"FLINDERS ST","1363","281091.1276","6132416.481","Adelaide Suite with Plaque","POINT (15429260.7992116 -4153981.91386129)"
"FLINDERS ST","672","280866.059","6132401.353","Adelaide Suite","POINT (15428986.2761862 -4153993.81893711)"
"FROME RD INC","1426","281369.444","6133459.602","North Terrace Table Top","POINT (15429630.1178785 -4152714.10039879)"
"FROME RD INC","1427","281386.478","6133470.412","North Terrace Table Top","POINT (15429651.1739208 -4152701.37657169)"
"FROME RD INC","1428","281402.961","6133480.902","North Terrace Table Top","POINT (15429671.5496817 -4152689.02800337)"
"FROME RD INC","1429","281419.718","6133491.481","North Terrace Table Top","POINT (15429692.2616212 -4152676.5785646)"
"FROME RD INC","1430","281437.592","6133502.887","North Terrace Table Top","POINT (15429714.3576898 -4152663.15023163)"
"FROME RD INC","1431","281448.766","6133509.38","North Terrace Bench","POINT (15429728.1525425 -4152655.5352031)"
"FROME RD INC","1432","281445.765","6133514.187","North Terrace Bench","POINT (15429724.6384173 -4152649.56776199)"
"FROME RD INC","947","281204.4395","6133810.1878","Concrete Leg1","POINT (15429439.4225161 -4152280.4596904)"
"FROME RD INC","948","281410.473","6133275.643","Willow","POINT (15429674.7182225 -4152940.31286157)"
"FROME RD INC","949","281424.369","6133240.176","Willow","POINT (15429690.6058167 -4152984.10190128)"
